player_id,name,team,age,games,minutes,points,rebounds,assists,steals,blocks,turnovers,fg_pct,fg3_pct,ft_pct,plus_minus,off_rating,def_rating,net_rating,ts_pct,eff_fg_pct,usage,ast_pct,reb_pct,pie,games_missed_est,availability_pct,updated_at
1629634,Brandon Clarke,MEM,28.0,64,18.9,8.3,5.1,1.0,0.8,0.6,0.6,0.621,0.059,0.701,2.8,116.5,108.2,8.2,0.638,0.622,0.15,0.072,0.126,0.108,0,128.0,2026-01-28T16:47:17.846577
1627742,Brandon Ingram,TOR,27.0,18,33.1,22.2,5.6,5.2,0.9,0.6,3.8,0.465,0.374,0.855,-7.1,107.0,117.7,-10.7,0.56,0.53,0.305,0.28,0.083,0.122,32,36.0,2026-01-28T16:47:17.846577
1641706,Brandon Miller,CHA,22.0,27,34.2,21.0,4.9,3.6,1.1,0.7,2.8,0.403,0.355,0.861,-4.6,106.9,113.8,-6.8,0.54,0.509,0.27,0.182,0.068,0.1,23,54.0,2026-01-28T16:47:17.846577
1630314,Brandon Williams,DAL,25.0,33,14.8,8.3,1.8,2.3,0.7,0.2,1.2,0.521,0.4,0.833,0.3,109.5,108.8,0.7,0.634,0.585,0.218,0.228,0.059,0.119,17,66.0,2026-01-28T16:47:17.846577
1630296,Braxton Key,GSW,28.0,3,3.6,1.0,0.7,0.0,0.7,0.0,0.3,0.0,0.0,0.5,-2.7,90.0,120.7,-30.7,0.226,0.0,0.222,0.0,0.105,-0.026,47,6.0,2026-01-28T16:47:17.846577
1641729,Brice Sensabaugh,UTA,21.0,71,20.2,10.9,3.0,1.5,0.6,0.1,1.5,0.459,0.422,0.89,-4.0,109.9,119.5,-9.6,0.612,0.59,0.208,0.117,0.069,0.087,0,142.0,2026-01-28T16:47:17.846577
1642355,Bronny James,LAL,20.0,27,6.7,2.3,0.7,0.8,0.3,0.1,0.5,0.313,0.281,0.786,-2.6,95.5,114.1,-18.6,0.424,0.381,0.199,0.191,0.048,0.05,23,54.0,2026-01-28T16:47:17.846577
201572,Brook Lopez,MIL,37.0,80,31.8,13.0,5.0,1.8,0.6,1.9,1.1,0.509,0.373,0.826,1.7,114.8,112.7,2.2,0.624,0.599,0.157,0.078,0.078,0.087,0,160.0,2026-01-28T16:47:17.846577
1628971,Bruce Brown,NOP,28.0,41,22.5,8.3,4.0,2.0,0.8,0.2,1.0,0.421,0.333,0.815,-5.5,104.8,116.8,-11.9,0.504,0.464,0.169,0.133,0.085,0.078,9,82.0,2026-01-28T16:47:17.846577
1628981,Bruno Fernando,TOR,26.0,17,8.6,3.4,3.0,1.1,0.2,0.5,0.8,0.531,0.0,0.75,-1.3,103.9,110.1,-6.1,0.552,0.531,0.182,0.194,0.165,0.1,33,34.0,2026-01-28T16:47:17.846577
1631121,Bryce McGowens,POR,22.0,13,2.5,1.0,0.2,0.2,0.1,0.0,0.3,0.286,0.0,0.833,-0.3,89.9,97.1,-7.2,0.391,0.286,0.244,0.105,0.046,0.0,37,26.0,2026-01-28T16:47:17.846577
1642267,Bub Carrington,WAS,19.0,82,30.0,9.8,4.2,4.4,0.7,0.3,1.7,0.401,0.339,0.812,-9.7,102.8,118.0,-15.2,0.514,0.493,0.154,0.213,0.064,0.071,0,164.0,2026-01-28T16:47:17.846577
1627741,Buddy Hield,GSW,32.0,82,22.7,11.1,3.2,1.6,0.8,0.3,1.1,0.417,0.37,0.828,1.7,112.3,110.1,2.2,0.56,0.546,0.196,0.106,0.066,0.085,0,164.0,2026-01-28T16:47:17.846577
203468,CJ McCollum,NOP,33.0,56,32.7,21.1,3.8,4.1,0.8,0.4,1.9,0.444,0.373,0.717,-5.0,112.3,119.4,-7.1,0.55,0.53,0.266,0.192,0.056,0.097,0,112.0,2026-01-28T16:47:17.846577
1630595,Cade Cunningham,DET,23.0,70,35.0,26.1,6.1,9.1,1.0,0.8,4.4,0.469,0.356,0.846,2.5,115.0,112.2,2.8,0.565,0.521,0.323,0.409,0.086,0.152,0,140.0,2026-01-28T16:47:17.846577
1631216,Caleb Houstan,ORL,22.0,58,13.6,4.1,1.3,0.6,0.4,0.1,0.2,0.421,0.4,0.882,-1.1,104.2,108.2,-4.1,0.605,0.589,0.115,0.066,0.047,0.061,0,116.0,2026-01-28T16:47:17.846577
1628997,Caleb Martin,DAL,29.0,45,27.1,7.9,3.9,2.1,1.0,0.5,1.2,0.424,0.359,0.622,-3.4,106.5,112.8,-6.3,0.513,0.485,0.143,0.116,0.073,0.063,5,90.0,2026-01-28T16:47:17.846577
1642353,Cam Christie,LAC,19.0,13,4.5,1.4,0.9,0.5,0.4,0.1,0.2,0.292,0.154,0.5,-0.8,97.6,105.6,-7.9,0.349,0.333,0.192,0.167,0.098,0.07,37,26.0,2026-01-28T16:47:17.846577
1629629,Cam Reddish,LAL,25.0,33,17.9,3.2,2.0,0.7,1.0,0.3,0.4,0.404,0.277,0.615,-2.8,107.6,115.9,-8.4,0.498,0.473,0.084,0.049,0.056,0.04,17,66.0,2026-01-28T16:47:17.846577
1642285,Cam Spencer,MEM,25.0,25,10.1,4.2,1.2,1.4,0.4,0.0,0.2,0.415,0.365,1.0,1.6,116.4,109.6,6.8,0.587,0.53,0.148,0.182,0.056,0.087,25,50.0,2026-01-28T16:47:17.846577
1630560,Cam Thomas,BKN,23.0,25,31.2,24.0,3.3,3.8,0.6,0.1,2.5,0.438,0.349,0.881,-3.7,114.9,120.6,-5.7,0.575,0.513,0.328,0.217,0.054,0.122,25,50.0,2026-01-28T16:47:17.846577
1641715,Cam Whitmore,HOU,20.0,51,16.2,9.4,3.0,1.0,0.6,0.3,0.9,0.444,0.355,0.75,0.0,113.4,112.3,1.1,0.549,0.525,0.231,0.09,0.086,0.108,0,102.0,2026-01-28T16:47:17.846577
1629661,Cameron Johnson,BKN,29.0,57,31.6,18.8,4.3,3.4,0.9,0.4,1.7,0.475,0.39,0.893,-3.5,110.9,116.7,-5.8,0.632,0.582,0.224,0.179,0.07,0.124,0,114.0,2026-01-28T16:47:17.846577
